NeighbourhoodID,Neighbourhood,BoroughID
1,Kingsbridge - Riverdale,1
2,Northeast Bronx,1
3,Fordham - Bronx Park,1
4,Pelham - Throgs Neck,1
5,Crotona - Tremont,1
6,High Bridge - Morrisania,1
7,Hunts Point - Mott Haven,1
8,Greenpoint,2
9,Downtown - Heights - Park Slope,2
10,Bedford Stuyvesant - Crown Heights,2
11,East New York,2
12,Sunset Park,2
13,Borough Park,2
14,East Flatbush - Flatbush,2
15,Canarsie - Flatlands,2
16,Bensonhurst - Bay Ridge,2
17,Coney Island - Sheepshead Bay,2
18,Williamsburg - Bushwick,2
19,Washington Heights - Inwood,3
20,Central Harlem - Morningside Heights,3
21,East Harlem,3
22,Upper West Side,3
23,Upper East Side,3
24,Chelsea - Clinton,3
25,Gramercy Park - Murray Hill,3
26,Greenwich Village - SoHo,3
27,Union Square - Lower East Side,3
28,Lower Manhattan,3
29,Long Island City - Astoria,4
30,West Queens,4
31,Flushing - Clearview,4
32,Bayside - Little Neck,4
33,Ridgewood - Forest Hills,4
34,Fresh Meadows,4
35,Southwest Queens,4
36,Jamaica,4
37,Southeast Queens,4
38,Rockaway,4
39,Port Richmond,5
40,Stapleton - St. George,5
41,Willowbrook,5
42,South Beach - Tottenville,5
9999,Unknown,9999
